交易類型,行政區,交易日期,地址,建物型態,移轉層次,總樓層,房型,總坪數,成交總價(萬),車位總價(萬),每坪單價(萬),含車位,車位類別,成交建案名稱,備註
預售屋,小港區,2026-01-10,高雄市小港區漢威街及港後路口,住宅大樓(11層含以上有電梯),六層,15,3房2廳2衛,43.55,1251.0,185.0,24.48,是,坡道平面,曜．安庭,
預售屋,鳳山區,2025-12-23,高雄市鳳山區勝中路與勝愛街口,住宅大樓(11層含以上有電梯),四層,15,0房2廳2衛,33.39,1130.0,155.0,29.2,是,坡道平面,藏美東京都,此戶含禮卷10萬元
預售屋,前金區,2026-02-05,高雄市前金區七賢二路394號,住宅大樓(11層含以上有電梯),七層,32,3房2廳2衛,31.96,1480.0,120.0,42.55,是,坡道機械,豐邑TOP+,
預售屋,新興區,2025-11-21,高雄市新興區五福一街,住宅大樓(11層含以上有電梯),十四層,15,2房2廳2衛,46.04,2160.0,240.0,41.7,是,坡道平面,寶象文化豆,
預售屋,鼓山區,2026-01-04,高雄市鼓山區美術東六街,住宅大樓(11層含以上有電梯),十四層,15,3房2廳2衛,40.39,2035.0,240.0,44.44,是,坡道平面,耀美術,
預售屋,橋頭區,2026-01-31,高雄市橋頭區南北路VS鹽田路,華廈(10層含以下有電梯),五層,5,2房1廳1衛,26.24,960.0,160.0,30.49,是,一樓平面,鹽序,交易總價含下列非屬預售屋價格之費用:裝潢費；
買賣(含新成屋/中古),左營區,2026-03-02,高雄市左營區富國路２９２號十九樓之９,住宅大樓(11層含以上有電梯),十九層,二十一層,1房0廳1衛,10.73,350.0,0.0,32.62,否,,,含土地增值稅或其他稅費5341元；含地政士服務費22000元；
買賣(含新成屋/中古),鼓山區,2026-03-02,高雄市鼓山區翠華路５４１號７樓,住宅大樓(11層含以上有電梯),七層,十二層,4房2廳2衛,63.23,300.0,0.0,4.74,否,,,
買賣(含新成屋/中古),三民區,2026-03-07,高雄市三民區修武街３８號四樓之２,住宅大樓(11層含以上有電梯),四層,十一層,1房1廳1衛,9.52,222.0,0.0,23.32,否,,,
買賣(含新成屋/中古),新興區,2026-03-03,高雄市新興區復興一路８９號十四樓之２,住宅大樓(11層含以上有電梯),十四層,十五層,2房1廳1衛,37.69,1280.0,0.0,33.96,是,坡道平面,,陽台外推；
買賣(含新成屋/中古),新興區,2026-03-09,高雄市新興區六合一路８８巷５號６樓之２,住宅大樓(11層含以上有電梯),六層,十二層,1房1廳1衛,13.13,200.0,0.0,15.23,否,,,親友、員工、共有人或其他特殊關係間之交易；
買賣(含新成屋/中古),前鎮區,2026-03-04,高雄市前鎮區一心二路２０６號二樓之１２,住宅大樓(11層含以上有電梯),二層,二十層,1房1廳1衛,17.42,388.0,0.0,22.27,否,,,含傢俱設備費；
買賣(含新成屋/中古),鼓山區,2026-03-03,高雄市鼓山區文忠路８０號八樓之２,住宅大樓(11層含以上有電梯),八層,十二層,2房2廳1衛,23.56,558.0,0.0,23.68,否,,,
買賣(含新成屋/中古),小港區,2026-03-08,高雄市小港區高坪五十二街９３號等３４戶之共有部分,華廈(10層含以下有電梯),,,0房0廳0衛,3.18,115.0,115.0,0.0,是,一樓平面,,建物坐落地號：坪鳳段390地號；僅車位交易；
買賣(含新成屋/中古),三民區,2026-03-03,高雄市三民區愛國路９７號四樓之１１,華廈(10層含以下有電梯),四層,十層,1房1廳1衛,4.79,138.0,0.0,28.81,否,,,夾層；
買賣(含新成屋/中古),苓雅區,2026-03-06,高雄市苓雅區英明路１２２號五樓之１,住宅大樓(11層含以上有電梯),五層,十四層,3房1廳2衛,51.45,580.0,0.0,11.27,否,,,親友、員工、共有人或其他特殊關係間之交易；
